Title,Authors,Description,Category,Publisher,Publish Date,Price
The Size of Thoughts: Essays and Other Lumber,"By Baker, Nicholson","Novelist Nicholson Baker, author of The Mezzanine and Vox and called by Vanity Fair ""the best American writer of his generation,"" here collects over a decade's worth of essays and journalism, including his controversial and highly praised 1994 article on the destruction of library card catalogs. His subjects range from the internals of the movie projector to the emotional tribulations of reading aloud; from the disappearance of hybrid punctuation to the mechanics of changing one's mind; from the lexicography of dirty talk to the manufacture of the fingernail clipper. There is a wedding address, a study of the not-so-random books that are used as props in mail-order catalogs, and a recipe. The final essay, which appears in print here for the first time, pursues through several centuries of prose and poetry the vagaries of the word lumber as a metaphor for the contents of the human mind, in what becomes in the telling a dazzlingly pedantic case study of the fanaticism of scholarship and the beauty that can reside within a piece of ordinary language."," Literary Collections , Essays",Random House,"Friday, March 1, 1996",Price Starting at $4.99
Slightly Single (Red Dress Ink paperback},"By Markham, Wendy","Following her college sweetheart to New York City, Tracy Spadolini is stunned when he leaves her for the summer, and, determined to change her life and get things into perspective, Tracey, with the help of her friends and one special guy, becomes a new woman, one with confidence and determination. Original. 75,000 first printing."," Fiction , Romance , General",Red Dress Ink,"Tuesday, January 1, 2002",Price Starting at $5.29
Roses For Dummies,"By Walheim, Lance and National Gardening Association (U. S.) (EDT)","""Beginners as well as advanced rose growers will find advice that's abundant and extremely helpful."" ? Bill Marken, West Coast Editor of Garden Escapes and Former Editor-In-Chief of Sunset Magazine ""Roses For Dummies is written as a friend, answering all my puzzling questions and providing easy solutions that are budget friendly."" ? Jan Weverka, Editor of The Rose Garden NewsletterFeatures 32 Full-Color Pages of Roses ? Plus a Free Six-Month Subscription to National Gardening MagazineDo you dream of growing beautiful, fragrant roses in your yard, on your porch, or in a flower box? With Roses For Dummies® at your fingertips, you can turn your dreams into reality with tips, techniques, and suggestions for growing roses in any space or climate. Filled with handy illustrations and colorful pages of roses, this fun and friendly reference takes you on a visual journey through the vibrant world of roses.Inside, you'll discover how to:Identify varieties of roses and choose the right ones for your climateCreate your own rose garden with helpful illustrations and 32 full-color pages of rose typesLocate the most fragrant varieties of roses, the best bloomers, and the hardiest climbersMaintain your rose garden with techniques for watering, mulching, fertilizing, and pruningProtect your roses from pests, diseases, and the harsh winds of winterFind helpful resources online and through direct mailBecome a member of rose growing societies and visit rose shows and public gardens in your community"," Gardening , Flowers , Roses",For Dummies,"Saturday, February 1, 1997",Price Starting at $4.99
Body Surfing: A Novel,"By Shreve, Anita","At the age of twenty-nine, Sydney has already been once divorced and once widowed. Trying to regain her footing after this tragic double blow, she answers the ad of a couple seeking a tutor for their teenage daughter and ends up spending the summer at the cottage of the Edwards family on the stunning New Hampshire coast.No sooner does Sydney settle into the household routine - acting as something between a servant and a family member - than the Edwardses' two grown sons, Ben and Jeff, show up for a weekend. Ben is a real-estate executive, Jeff is a professor. Both are handsome, both are accomplished, both are competitive. And both seem completely enraptured by Sydney.As the weeks pass in this seaside idyll, Sydney enters a strange love triangle, infused with old rivalries and bitter secrets she can only guess at. And she begins to fear that the brothers' competition for her affections could tear apart their family - and the fragile existence she has painstakingly rebuilt."," Fiction , General","Little, Brown, and Company","Sunday, April 1, 2007",Price Starting at $5.29
The Art of War (Barnes & Noble Classics),"By Sun-tzu, Giles, Lionel (TRN), and Galvin, Dallas (EDT)","&&LDIV&&R&&LDIV&&R&&LI&&RThe Art of War&&L/I&&R, by &&LB&&RSun Tzu&&L/B&&R, is part of the &&LI&&R&&LI&&RBarnes & Noble Classics&&L/I&&R &&L/I&&Rseries, which offers quality editions at affordable prices to the student and the general reader, including new scholarship, thoughtful design, and pages of carefully crafted extras. Here are some of the remarkable features of &&LI&&RBarnes & Noble Classics&&L/I&&R: &&LDIV&&RNew introductions commissioned from today's top writers and scholars Biographies of the authors Chronologies of contemporary historical, biographical, and cultural events Footnotes and endnotes Selective discussions of imitations, parodies, poems, books, plays, paintings, operas, statuary, and films inspired by the work Comments by other famous authors Study questions to challenge the reader's viewpoints and expectations Bibliographies for further reading Indices & Glossaries, when appropriateAll editions are beautifully designed and are printed to superior specifications; some include illustrations of historical interest. &&LI&&RBarnes & Noble Classics &&L/I&&Rpulls together a constellation of influences—biographical, historical, and literary—to enrich each reader's understanding of these enduring works.&&L/DIV&&R&&L/DIV&&R&&L/DIV&&R&&LDIV&&R &&L/DIV&&R&&LDIV&&R“A clever fighter is one who not only wins, but excels in winning with ease.” So wrote Sun Tzu 2,500 years ago.&&LBR&&R&&LBR&&RSun Tzu’s incisive blueprint for battlefield strategy is as relevant to today’s combatants in business, politics, and everyday life as it once was to the warlords of ancient China. &&LI&&RThe Art of War&&L/I&&R is one of the most useful books ever written on leading with wisdom, an essential tool for modern corporate warriors battling to gain the advantage in the boardroom, and for anyone struggling to gain the upper hand in confrontations and competitions. &&LBR&&R&&LBR&&RHere Lionel Giles’s famed 1910 translation, laced with commentary from illustrious Chinese experts, is brought up to date with relevant quotations from Western writers and thinkers.  This new edition offers Sun Tzu’s timeless classic, both with and without annotation, making it more accessible to aspiring leaders and military strategists than ever before. &&L/DIV&&R&&LDIV&&R&&LP&&R&&LB&&RDallas Galvin&&L/B&&R, a writer and journalist specializing in international affairs and the arts, has reported on military affairs in Latin America and Asia and produced documentaries for the NATO Alliance.&&L/P&&R&&L/DIV&&R"," History , Military , General",Sterling Publishing,"Thursday, May 1, 2003",Price Starting at $4.99
Hilda and Pearl: A Novel,"By Mattison, Alice","To Frances, an only child living in McCarthy-era Brooklyn, her mother, Hilda, and her aunt Pearl seem as if they have always been friends. Frances does not question the love between the two women until her father's job as a teacher is threatened by anti-Communism, just as Frances begins to learn about her family's past. Why does Hilda refer to her ""first pregnancy,"" as if Frances wasn't her only child? Whose baby shoes are hidden in Hilda's dresser drawer? Why is there tension when Pearl and her husband come to visit?The story of a young girl in the fifties and her elders' coming-of-age in the unquiet thirties, this book resonates deeply, revealing in beautiful, clear language the complexities of friendship and loss."," Fiction , General",Harper Perennial,"Monday, October 1, 2001",Price Starting at $5.29
My First Book:  My First Steps to Reading,By Jane Belk Moncure,,,Child's World,"Tuesday, January 1, 1991",Price Starting at $4.99
In Search of Our Mothers' Gardens: Womanist Prose,"By Walker, Alice","A selection of thirty-seven articles and essays by the Pulitzer Prize-winning writer includes reviews of other noted authors, reports on Cuba, the civil rights and peace movements, and autobiographical anecdotes"," Social Science , Feminism & Feminist Theory",Harvest Books,"Monday, October 1, 1984",Price Starting at $4.99
Foundation Flash CS3 for Designers,"By Green, Tom and Stiller, David","This book is a design-slanted guide aimed at giving aspiring Flash designers a solid grounding in the new version, as well as giving established Flash designers a clear look over the new flash CS3 features. Written by renowned Flash designers Tom Green and David Stiller, it features real world examples throughout, presented in an accessible, friendly tutorial style. No other beginner's Flash CS3 guide is specifically aimed at designers. Flash still remains a huge market area, and in 2007 Adobe released Flash CS3 which boasts a whole host of new features for Flash designers to get excited about."," Computers , Web , Design",Apress,"Sunday, July 1, 2007",Price Starting at $10.99
"Exceeding Customer Expectations: What Enterprise, America's #1 car rental company, can teach you about creating lifetime customers","By Kazanjian, Kirk and Taylor, Andrew C. (FRW)","What’s the secret to wowing your customers while maintaining a loyal and dedicated workforce? No one knows better than Enterprise, the nation’s #1 car rental company. Drawing upon the time-tested strategies that have propelled Enterprise from a single location in St. Louis into a $9 billion global powerhouse, EXCEEDING CUSTOMER EXPECTATIONS reveals how to:• Actively seek out unsatisfied customers and quickly turn them into loyal fans  • Hire smart people and train them from the ground up•Develop methods to reduce costs and add value for your customers in every interaction.• Grow your business by rewarding employees with financial incentives, forming strong partnerships, and focusing on the long-term • Thrive during tough economic times by bringing new advantages to the market• Cultivate a fun and friendly workplace where teamwork rulesIn EXCEEDING CUSTOMER EXPECTATIONS, noted business author Kirk Kazanjian reveals how your company can consistently outperform and outsmart the competition by following a simple philosophy espoused by Enterprise founder Jack Taylor: “Take care of your customers and employees first, and the profits will follow.” Winning customer loyalty is like running a marathon–not a 100-yard dash. By mastering this principle, Enterprise has earned not only record profits, but also received numerous awards for customer service and earned an enviable reputation as one of the world’s best companies to work for. EXCEEDING CUSTOMER EXPECTATIONS imparts timeless lessons on satisfying both customers and employees that you can put to use right away, no matter what your business or industry."," Business & Economics , Industries , Automobile Industry",Crown Business,"Monday, January 1, 2007",Price Starting at $5.29
Marley Goes to School,"By Grogan, John and Cowdrey, Richard (ILT)","It's the first day of school, and Cassie is all set to go. So is her dog, Marley! Although he's told to stay, Marley digs a tunnel out of the backyard and sniffs his way to school. As he roams the halls looking for Cassie, he finds trouble instead. From wolfing down hot dogs in the cafeteria to setting free a bunch of mice in science class, Marley won't stop until he locates his best friend. This lovable and rowdy dog may not be much of an academic, but he's full of school spirit! Packed with action and hilarious Marley bad-boy antics, this follow-up to the bestselling Bad Dog, Marley! and A Very Marley Christmas will leave readers howling for more. Awooo!"," Juvenile Fiction , School & Education",Harpercollins,"Wednesday, July 1, 2009",Price Starting at $5.29
Are You My Mother? (Bright & Early Board Books(TM)),"By Eastman, P. D.","This easy-to-read, must-have classic about a baby bird in   search of his mother is perfect for every day!  A baby bird goes in search of his mother in this hilarious board book   edited by Dr. Seuss. When a mother bird's egg starts to jump, she hurries off   to make sure she has something for her little one to eat. But as soon as   she's gone, out pops the baby bird. He immediately sets off to find his   mother, but not knowing what she looks like makes it a challenge. The little   hatchling is determined to find his mother, even after meeting a kitten, a   hen, a dog, and a Snort. The timeless message of the bond between mother and   child make this abridged, super-simple edition of P. D. Eastman's Are You My Mother? a must for baby   showers, beginning readers, and Mother's Day."," Juvenile Fiction , Family , Parents",Random House Books for Young Readers,"Tuesday, September 1, 1998",Price Starting at $4.99
At Sea,"By Olson, Toby","When obsession threatens to consume a man, death can be a relief. Or it can be the beginning of an even more disturbing journeyIn At Sea, Toby Olson once again explores a darker side of love and relationship, this time through the difficulties of characters in a Cape Cod town, where lifestyles mix, and sexual jealousy provokes deadly passions. The result is a complex mystery involving family secrets, brutal assault and death.It is Peter Blue, an undercover narcotics agent in Provincetown, who finds himself at sea. Troubled in his marriage to Sara, drawn to the rape victim, Beth Charters, Peter is torn in his affections. When he takes part in a drug bust that results in the death of a local fisherman, Peter's motives become suspect. When many in the town turn against him, he is put on temporary suspension.Peter leaves Provincetown for safe haven, but when he returns he finds that everything he'd counted on has come apart. A brutal murder raises more questions, creates more doubts. Peter is rescued from a drunken binge by Charlie Glen, the piano player at a local bar; together they set out to unravel the mystery that has developed, one which goes well beyond the recent murder. Their investigations lead them into the past, the underlife of the town's gay bars, out into the dunes of the National Seashore, even to the sea itself. In the end it is as much their own lives that are understood as those of the criminals they've pursued.As in all of Olson's fiction, including the PEN/Faulkner Award-winning Seaview and his most recent Dorit in Lesbos, At Sea explores issues of memory, coercion and sexual ambivalence. But here setting too becomes character, the delicate structures of Provincetown's culture and the natural world that surrounds it serving as a backdrop for the fragile and complex emotions of Peter Blue and those whose lives he touches.At Sea is at once mystery and psychological novel, yet written with the same stylistic elegance, the same care for detail that has become Olson's hallmark. At Sea takes its place with Toby Olson's five previous novels, a body of work that is unique in contemporary American fiction."," Fiction , General",Simon & Schuster,"Saturday, May 1, 1993",Price Starting at $19.25
"Against All Odds: My Life of Hardship, Fast Breaks, and Second Chances","By Brown, Scott","Against All Odds is the extraordinary personal story of the man who rose up to meet the challenge of terrific opposition and become one of America's most promising new political figures—Senator Scott Brown. Brown is famous for succeeding popular Massachusetts Senator Ted Kennedy after Kennedy’s death in 2010—but, as he reveals in a compelling memoir reminiscent of Sarah Palin’s Going Rogue and Clarence Thomas’s My Grandfather’s Son, his experiences with struggle and achievement go back a lifetime."," Biography & Autobiography , Political",Harper,"Tuesday, February 1, 2011",Price Starting at $5.29
The Last Witchfinder: A Novel,"By Morrow, James","From a writer who has been lauded as ""an original -- stylistically ingenious, savagely funny, always unpre-dictable"" (Philadelphia Inquirer) and ""unerring"" (San Diego Union-Tribune), who has been compared to Mark Twain, Kurt Vonnegut, and John Updike, a writer whose pen has given us a devastating lampoon of the nuclear-arms race and an audacious answer to the outrageous question ""What if God had a daughter?"" -- from this writer, the critically acclaimed James Morrow, comes a novel of history, adventure, science, sex, satire, absurdity, and philosophy.Jennet Stearne's father hangs witches for a living in Restoration England. But when this precocious child witnesses the horrifying death of her beloved Aunt Isobel, unjustly executed as a sorceress, she makes it her life's mission to bring down the Parliamentary Witchcraft Act. A self-educated ""natural philosopher,"" Jennet is inspired in her quest by a single sentence in a cryptic letter from Isaac Newton: It so happens that in the Investigations leading first to my Conjectures concerning Light and later to my System of the World, I fell upon a pretty Proof that Wicked Spirits enjoy no essential Existence. Armed with nothing but the power of reason and her memory of Isobel's love, Jennet cannot rest until she has put the last witchfinder out of business.Abrim with picaresque adventures -- escapades that carry Jennet from King William's Britain to the fledgling American Colonies to an uncharted Caribbean island -- our heroine's search for justice entangles her variously in the machinations of the Salem Witch Court, the customs of her Algonquin Indian captors, the designs of a West Indies pirate band, and the bedsheets of her brilliant lover, the young Ben Franklin. Finally, in a reckless and courageous ploy, Jennet arranges to go on trial herself for sorcery, the only way she can defeat the witchfinders now and forever. Rich in detail, rollicking in style, and endlessly engaging, The Last Witchfinder is a tour de force of historical fiction."," Fiction , General",William Morrow,"Wednesday, March 1, 2006",Price Starting at $5.82
A Smurf in the air (Smurf mini storybooks),By Peyo.,,,Random House,"Thursday, January 1, 1981",Price Starting at $12.51
War Brides,"By Battle, Lois",Three young Australian women--each in search of a personal vision of the American dream--follow their Yankee husbands home after World War II," Fiction , General",St Martins Pr,"Friday, January 1, 1982",Price Starting at $5.41
